Time,data
1715272158.078143,-1.87890625
1715272158.0882459,-1.87890625
1715272158.0981867,-1.87890625
1715272158.108368,-1.9765625
1715272158.1183333,-1.78125
1715272158.1281073,-1.78125
1715272158.1381662,-1.6796875
1715272158.148167,-1.9765625
1715272158.1585643,-1.9765625
1715272158.1682956,-1.6796875
1715272158.1782444,-1.9765625
1715272158.1881523,-2.17578125
1715272158.1981022,-1.9765625
1715272158.2081006,-1.6796875
1715272158.2181072,-2.17578125
1715272158.228114,-1.9765625
1715272158.238129,-2.17578125
1715272158.2484534,-1.58203125
1715272158.2585826,-1.78125
1715272158.2683516,-2.078125
1715272158.2781067,-1.6796875
1715272158.288444,-1.87890625
1715272158.2982032,-1.6796875
1715272158.3082435,-2.078125
1715272158.318315,-1.87890625
1715272158.3281085,-2.078125
1715272158.3381498,-1.78125
1715272158.348395,-1.6796875
1715272158.3586698,-1.9765625
1715272158.3683815,-1.9765625
1715272158.3781567,-1.484375
1715272158.3883748,-1.6796875
1715272158.3983529,-1.6796875
1715272158.4081187,-1.87890625
1715272158.4181135,-1.9765625
1715272158.4283605,-1.58203125
1715272158.4381254,-1.58203125
1715272158.4483888,-1.6796875
1715272158.4585102,-1.9765625
1715272158.4683528,-1.6796875
1715272158.4781492,-1.87890625
1715272158.4881306,-1.484375
1715272158.4981165,-2.17578125
1715272158.508245,-1.58203125
1715272158.518321,-1.9765625
1715272158.5281181,-1.9765625
1715272158.5381413,-1.78125
1715272158.548169,-1.58203125
1715272158.5588229,-1.6796875
1715272158.5682375,-1.6796875
1715272158.5781753,-1.6796875
1715272158.5881233,-1.6796875
1715272158.5981672,-1.9765625
1715272158.6081514,-1.58203125
1715272158.6182795,-1.9765625
1715272158.6281285,-1.9765625
1715272158.6381295,-1.58203125
1715272158.6481917,-1.6796875
1715272158.6584206,-1.78125
1715272158.6682127,-1.78125
1715272158.6781979,-1.78125
1715272158.6881752,-1.9765625
1715272158.6982257,-1.9765625
1715272158.7083051,-2.078125
1715272158.7182631,-1.9765625
1715272158.7282722,-1.78125
1715272158.7381332,-2.078125
1715272158.748186,-1.38671875
1715272158.7584805,-1.9765625
1715272158.7681992,-1.78125
1715272158.7781267,-1.87890625
1715272158.788138,-1.6796875
1715272158.798222,-1.9765625
1715272158.8084168,-1.9765625
1715272158.818229,-1.58203125
1715272158.8280995,-1.78125
1715272158.8382626,-1.6796875
1715272158.8483734,-1.9765625
1715272158.8585289,-1.9765625
1715272158.8682096,-1.87890625
1715272158.8782945,-1.58203125
1715272158.8881614,-1.6796875
1715272158.8984532,-1.78125
1715272158.9081914,-1.78125
1715272158.9181962,-2.078125
1715272158.9282658,-2.2734375
1715272158.9381766,-1.9765625
1715272158.948301,-1.58203125
1715272158.958562,-1.78125
1715272158.9682045,-1.87890625
1715272158.9781559,-2.078125
1715272158.9882126,-1.9765625
1715272158.9981987,-1.87890625
1715272159.0081546,-1.78125
1715272159.0181565,-1.9765625
1715272159.02817,-1.87890625
1715272159.03818,-1.58203125
1715272159.048384,-2.078125
1715272159.0585556,-1.78125
1715272159.0682123,-1.58203125
1715272159.0782983,-1.9765625
1715272159.0881932,-1.87890625
1715272159.0982227,-1.78125
1715272159.1082094,-1.78125
1715272159.118226,-1.58203125
1715272159.1281605,-1.78125
1715272159.1383038,-1.87890625
1715272159.1483774,-1.58203125
1715272159.15882,-1.78125
1715272159.1685004,-1.9765625
1715272159.178205,-1.6796875
1715272159.1884353,-1.9765625
1715272159.1981812,-1.6796875
1715272159.2081816,-1.6796875
1715272159.2182302,-1.87890625
1715272159.2282088,-1.6796875
1715272159.2382529,-1.58203125
1715272159.2482693,-1.78125
1715272159.258731,-1.9765625
1715272159.2683926,-1.58203125
1715272159.2784011,-1.9765625
1715272159.2882805,-1.87890625
1715272159.2982547,-1.87890625
1715272159.3082235,-2.17578125
1715272159.318245,-1.9765625
1715272159.3281982,-1.78125
1715272159.3382256,-1.78125
1715272159.348309,-1.87890625
1715272159.3585963,-1.87890625
1715272159.3685396,-1.87890625
1715272159.3782287,-1.78125
1715272159.3887203,-1.87890625
1715272159.3983412,-1.87890625
1715272159.4082813,-1.58203125
1715272159.418381,-1.87890625
1715272159.4282393,-1.6796875
1715272159.4382577,-1.58203125
1715272159.4482546,-2.078125
1715272159.4585733,-1.78125
1715272159.4682958,-2.078125
1715272159.4783542,-1.58203125
1715272159.488772,-1.78125
1715272159.4983428,-1.78125
1715272159.5082617,-1.9765625
1715272159.518426,-1.87890625
1715272159.5282454,-1.87890625
1715272159.5383391,-1.87890625
1715272159.5482495,-1.9765625
1715272159.5585968,-1.87890625
1715272159.5684793,-1.6796875
1715272159.5783322,-1.87890625
1715272159.5895755,-1.9765625
1715272159.5984623,-1.87890625
1715272159.6083279,-2.078125
1715272159.6183846,-1.78125
1715272159.628396,-1.78125
1715272159.6384435,-1.9765625
1715272159.6486828,-1.87890625
1715272159.6585991,-1.9765625
1715272159.6685004,-1.9765625
1715272159.6785402,-1.6796875
1715272159.6893802,-1.6796875
1715272159.6985826,-1.78125
1715272159.7086093,-2.078125
1715272159.7186763,-1.58203125
1715272159.7285888,-1.9765625
1715272159.7387352,-1.6796875
1715272159.7489657,-1.78125
1715272159.7590857,-1.9765625
1715272159.7686875,-1.87890625
1715272159.778691,-1.87890625
1715272159.78936,-1.78125
1715272159.798588,-1.78125
1715272159.808317,-1.87890625
1715272159.8183799,-1.87890625
1715272159.8286953,-1.87890625
1715272159.8387299,-1.78125
1715272159.8483677,-1.9765625
1715272159.8590808,-2.17578125
1715272159.8685377,-1.58203125
1715272159.8783045,-1.87890625
1715272159.8884394,-1.78125
1715272159.8983064,-1.87890625
1715272159.9083211,-2.17578125
1715272159.9183292,-1.78125
1715272159.9282873,-1.78125
1715272159.9385061,-2.2734375
1715272159.9484475,-1.6796875
1715272159.9586837,-1.87890625
1715272159.9684632,-1.78125
1715272159.9784443,-1.78125
1715272159.9884958,-1.9765625
1715272159.9983902,-1.484375
1715272160.008388,-1.78125
1715272160.018354,-1.78125
1715272160.028361,-1.78125
1715272160.0384402,-1.9765625
1715272160.0484505,-1.38671875
1715272160.0587215,-1.58203125
1715272160.0684097,-1.87890625
1715272160.078389,-1.78125
1715272160.0884452,-1.87890625
1715272160.0985105,-1.87890625
1715272160.1085434,-1.78125
1715272160.118459,-1.87890625
1715272160.1283336,-1.6796875
1715272160.1384053,-2.17578125
1715272160.148586,-1.9765625
1715272160.1588075,-1.87890625
1715272160.1685426,-1.6796875
1715272160.1783829,-1.9765625
1715272160.188596,-1.9765625
